Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split
tx_0000AFMhSjxMgOJFoy89tD,12/01/2022,13:14:57,Faster payment,S Ali,,Transfers,10.00,GBP,10.00,GBP,Monzo-TMCYB,,,Monzo-TMCYB,
tx_0000AFP72ZePMZEHQwaJTl,13/01/2022,17:10:58,Card payment,ATM,💵,Cash,-10.00,GBP,-10.00,GBP,,3-4 Wilmslow Road,,POST OFFICE            LEEDS         GBR,
tx_0000AFslyZ01ZbTUVG1v06,28/01/2022,00:36:16,Faster payment,ALI A & GHAFFAR,,Transfers,50.00,GBP,50.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AG1031IlF1canEyzPV,31/01/2022,23:51:38,Card payment,Netflix,📺,Entertainment,0.00,GBP,0.00,GBP,Active card check,,,NETFLIX.COM            18665797172   GBR,
tx_0000AG10EytE2CMskcgmED,31/01/2022,23:53:48,Card payment,Apple,🍎 ,Bills,0.00,GBP,0.00,GBP,Active card check,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AG10JfkQdBpJ6m6Ngf,31/01/2022,23:54:39,Card payment,Apple,🍎 ,Bills,0.00,GBP,0.00,GBP,Active card check,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AG80ohzjgfKSuwDrCE,04/02/2022,09:03:14,Faster payment,S Ali,,Transfers,30.00,GBP,30.00,GBP,S Ali,,,S Ali,
tx_0000AG8GcdhLR0eGZj87Rh,04/02/2022,12:00:20,Card payment,Superdry,👕,Shopping,-34.99,GBP,-34.99,GBP,,,,SuperDry               Cheltenham    GBR,
tx_0000AG9IyOZojLGAjsoQvR,05/02/2022,00:01:23,Card payment,Matalan,👕,Shopping,-14.00,GBP,-14.00,GBP,,,,MATALAN.CO.UK          SKELMERSDALE  GBR,
tx_0000AGAEkYs3SGJngOKQDK,05/02/2022,10:48:47,Card payment,PythonAnywhere,🐍,Bills,0.00,GBP,0.00,GBP,Active card check,17a Clerkenwell Road,,PYTHONANYWHERE         +442072536372 GBR,
tx_0000AGANNBK7jhjMCUcsWv,05/02/2022,12:25:24,Card payment,Uber Eats,🍽,Eating out,-14.66,GBP,-14.66,GBP,,,,UBER   * EATS PENDING  London        GBR,
tx_0000AGAyku1ZP118llkTxZ,05/02/2022,19:24:16,Faster payment,S Ali,,Transfers,32.49,GBP,32.49,GBP,S Ali,,,S Ali,
tx_0000AGB16wiAIDEOx85pwn,05/02/2022,19:50:40,Faster payment,N Ghaffar,,Transfers,57.16,GBP,57.16,GBP,N Ghaffar,,,N Ghaffar,
tx_0000AGB1OCCxvfdWMqwXHl,05/02/2022,19:53:47,Card payment,Sports Direct,🎾,Shopping,0.00,GBP,0.00,EUR,Active card check,,,SPORTSDIRECT.COM       +443442459200 GBR,
tx_0000AGB1OqOiVPEkLHM5dy,05/02/2022,19:53:54,Card payment,Sports Direct,🎾,Shopping,-61.99,GBP,-61.99,GBP,,,,SPORTSDIRECT.COM       +443442459200 GBR,
tx_0000AGB1h2RuRAUOizrQC9,05/02/2022,19:57:12,Card payment,Next,👕,Shopping,-40.00,GBP,-40.00,GBP,,,,NEXT DIRECTORY         ONLINE        GBR,
tx_0000AGB33CmumJjh7BosNN,05/02/2022,20:12:24,Faster payment,S Ali,,Transfers,100.00,GBP,100.00,GBP,S Ali,,,S Ali,
tx_0000AGB4N5dDCBmGWnKYGg,05/02/2022,20:27:12,Card payment,Chicken Hut,🍴,Eating out,-6.00,GBP,-6.00,GBP,,226 Roundhay Road,,SumUp  *Chicken hut    Leeds         GBR,
tx_0000AGBAnmeITmdxXibrhB,05/02/2022,21:39:15,Card payment,Uber,🚖,Transport,-5.02,GBP,-5.02,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AGBCJWebaGG7Ohd4BF,05/02/2022,21:56:12,Card payment,Tesco,🍏 ,Groceries,-42.90,GBP,-42.90,GBP,,361 Roundhay Road,,TESCO STORE 2814       LEEDS         GBR,
tx_0000AGBD6SDYrlObaS8Q9h,05/02/2022,22:05:02,Card payment,Uber,🚖,Transport,-5.02,GBP,-5.02,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AGCAZPAVB2Wrm7U5HF,06/02/2022,09:11:22,Card payment,Uber,🚖,Transport,-4.75,GBP,-4.75,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AGCOfawhhTxMnYodSj,06/02/2022,11:49:21,Card payment,Uber,🚖,Transport,-4.75,GBP,-4.75,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AGCZNF0xbJnaTwPc71,06/02/2022,13:49:18,Card payment,Uber Eats,🍽,Eating out,-19.24,GBP,-19.24,GBP,,,,UBER   * EATS PENDING  London        GBR,
tx_0000AGF32rUEkkSlvrP7qc,07/02/2022,18:31:11,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,#in-app-purchases,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGF3PbVOKyF4jtIyQ6,07/02/2022,18:35:18,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,#in-app-purchases,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGIXpk84TcLSo4sbdo,09/02/2022,11:00:18,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AGIvzHfLYTcI1WtRj9,09/02/2022,15:30:57,Card payment,Superdry,👕,Shopping,34.99,GBP,34.99,GBP,,The Runnings,,SuperDry\Unit 60 The Runnings\Cheltenham\GL51 9NW  GBRGBR,
tx_0000AGJ2cj1KNvGGXWCjWD,09/02/2022,16:45:18,signup_referral,,,Income,5.00,GBP,5.00,GBP,,,,Referral bonus 🎉,
tx_0000AGJ4FU7ho2IOLVQmW1,09/02/2022,17:03:31,Faster payment,S Ali,,Transfers,40.00,GBP,40.00,GBP,S Ali,,,S Ali,
tx_0000AGJ4RmZj1nTZ34Ouyv,09/02/2022,17:05:44,Card payment,Next,👕,Shopping,-10.10,GBP,-10.10,GBP,,Msu1 Trinity Shopping Centre,,NEXT RETAIL LTD        LEEDS TRINITY GBR,
tx_0000AGJ6dO1kK3lcOgflWj,09/02/2022,17:30:15,Card payment,PythonAnywhere,🐍,Bills,-5.32,GBP,-7.20,USD,,17a Clerkenwell Road,,PYTHONANYWHERE         +442072536372 GBR,
tx_0000AGJ8WpygCkSANFIVIf,09/02/2022,17:51:28,Card payment,Chez-joel,🍴,Eating out,-10.00,GBP,-10.00,GBP,,24 Primrose Lane,,SumUp  *Chez-joel      Leeds         GBR,
tx_0000AGJIa1f8DUE6OhLoJN,09/02/2022,19:44:06,Card payment,O2,📱,Bills,-13.53,GBP,-13.53,GBP,,,,O2                     LEEDS         GBR,
tx_0000AGJIbtT5eZyu9qs0hd,09/02/2022,19:44:26,Card payment,O2,📱,Bills,-40.42,GBP,-40.42,GBP,,,,02 ONLINE              LEEDS         GBR,
tx_0000AGLQHgyrYmwjDJpmvy,10/02/2022,20:19:51,Card payment,Apple,🍎 ,Bills,-1.79,GBP,-1.79,GBP,#in-app-purchases,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGLr9mgl9SKTMXov4b,11/02/2022,01:20:57,Faster payment,S Ali,,Transfers,50.00,GBP,50.00,GBP,S Ali,,,S Ali,
tx_0000AGLrN2pMSXN6AxVcWn,11/02/2022,01:23:21,Card payment,PayPal,💸,Finances,0.00,GBP,0.00,GBP,Active card check,,,PAYPAL                 35314369001   GBR,
tx_0000AGMr2UcK8Y4qgw6iPL,11/02/2022,12:54:21,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,#in-app-purchases,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGMr8kTC6rmHLjwQGP,11/02/2022,12:55:29,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,#in-app-purchases,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGNRDy0SnyPE7qdHu7,11/02/2022,19:39:48,Card payment,Disney+,🐭,Entertainment,-7.99,GBP,-7.99,GBP,,,,DISNEY PLUS            LONDON        GBR,
tx_0000AGNfD8o2Z74q7c94Vt,11/02/2022,22:16:31,Card payment,PayPal,💸,Finances,-10.92,GBP,-10.92,GBP,,2 Whittaker Avenue,,PAYPAL *PAYPAL CREDIT  35314369001   GBR,
tx_0000AGOzLSwjlEjpbw5oLB,12/02/2022,13:36:50,Card payment,Noor Foods,🥖,Groceries,-5.38,GBP,-5.38,GBP,,26-28 Harehills Road,,NOOR FOOD YORKSHIRE LT LEEDS LS8     GBR,
tx_0000AGPGprfM7HRcZIMFNZ,12/02/2022,16:52:49,Card payment,Apple,🍎 ,Bills,0.00,GBP,0.00,GBP,Active card check,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGPNLFI2vr9vLTrSx0,12/02/2022,18:05:43,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AGPbm7Im8hFEhSsku9,12/02/2022,20:47:27,Card payment,Northern Trains,🚋,Transport,-4.70,GBP,-4.70,GBP,,BRADFORD INTERCHANGE STATION,,NORTHERN TRAINS LTD    BRADFORD 2930 GBR,
tx_0000AGaIEOEytTUpKge9Ld,18/02/2022,00:30:17,Faster payment,S Ali,,Transfers,100.00,GBP,100.00,GBP,S Ali,,,S Ali,
tx_0000AGaZcf8nPQMf5LDuZV,18/02/2022,03:45:09,Card payment,Netflix,📺,Entertainment,-13.99,GBP,-13.99,GBP,,,,NETFLIX.COM            london        GBR,
tx_0000AGbtR8itmzmbC2gjRq,18/02/2022,19:01:53,Card payment,Deliveroo,🍝🦘,Eating out,0.00,GBP,0.00,GBP,Active card check,,,DELIVEROO              +442036999977 GBR,
tx_0000AGbtTFOByaBJJHcwxG,18/02/2022,19:02:16,Card payment,Deliveroo,🍝🦘,Eating out,-19.82,GBP,-19.82,GBP,,,,DELIVEROO              +442036999977 GBR,
tx_0000AGc81UyrudNOHwA2cL,18/02/2022,21:45:20,Card payment,Uber,🚖,Transport,-4.40,GBP,-4.40,GBP,,,,UBR* PENDING.UBER.COM  London        GBR,
tx_0000AGcA9DQBHWJj0sRUwr,18/02/2022,22:09:08,Card payment,Uber,🚖,Transport,-0.96,GBP,-0.96,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AGdUrvGno5OafPiYID,19/02/2022,13:36:01,Card payment,Uber,🚖,Transport,0.00,GBP,0.00,GBP,Active card check,,,Uber UK Rides          London        GBR,
tx_0000AGdUxXcodBmP4Sh2v3,19/02/2022,13:37:02,Card payment,Uber Eats,🍽,Eating out,-26.07,GBP,-26.07,GBP,,,,UBER   * EATS PENDING  London        GBR,
tx_0000AGfbqC6nJnIhd9yNGr,20/02/2022,14:03:34,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AGffNTvYOD4wE7RKks,20/02/2022,14:43:12,Card payment,Boots,💊,Personal care,-5.79,GBP,-5.79,GBP,,19 Albion Street,,BOOTS 0500             LEEDS         GBR,
tx_0000AGhKkrthj3C7GqkcBl,21/02/2022,10:01:32,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGhMXeuatW2G5Q2Rhx,21/02/2022,10:21:34,Card payment,Sky Farm Leeds Ltd,💊,Personal care,-6.57,GBP,-6.57,GBP,,,,SKY FARM LEEDS LTD     LEEDS         GBR,
tx_0000AGmuVh5GDTCKlNgJpR,24/02/2022,02:35:44,Card payment,Apple,🍎 ,Bills,-14.99,GBP,-14.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGoo0w2GMjiPMnQOaf,25/02/2022,00:32:22,Faster payment,S Ali,,Transfers,80.00,GBP,80.00,GBP,S Ali,,,S Ali,
tx_0000AGpaFGmmoBjOKY7FFx,25/02/2022,09:32:48,Card payment,Uber Eats,🍽,Eating out,-11.79,GBP,-11.79,GBP,,,,UBER   * EATS PENDING  London        GBR,
tx_0000AGqGqymsN4VZ5yQU8B,25/02/2022,17:30:14,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AGqO1OrWyl2GTuhu6b,25/02/2022,18:50:33,Card payment,McDonald’s,🍔,Eating out,-8.00,GBP,-8.00,GBP,,1 Cardigan Fields Road,,MCDONALDS              LEEDS         GBR,
tx_0000AGtzBkgSytNmIlWpCU,27/02/2022,12:31:08,Card payment,Google,💻,Entertainment,0.00,GBP,0.00,GBP,Active card check,,,GOOGLE *TEMPORARY HOLD g.co/helppay# GBR,
tx_0000AGtzEFr83VeK1rHuEM,27/02/2022,12:31:35,Card payment,Google,💻,Bills,-9.72,GBP,-9.72,GBP,,70 Sir John Rogerson's Quay,,GOOGLE *Colab          G.CO/HELPPAY# IRL,
tx_0000AGvFopYoZokJ6STVuT,28/02/2022,03:12:09,Direct Debit,PureGym,,General,-19.99,GBP,-19.99,GBP,005700180246050001,,,005700180246050001,
tx_0000AGvtMwqrs4DY1NpFnl,28/02/2022,10:35:21,Card payment,Apple,🍎 ,Bills,-6.99,GBP,-6.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGwAhQEI3NWcPb9TH7,28/02/2022,13:49:32,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGxxJmxiyIXj7af2wL,01/03/2022,10:29:01,Card payment,Apple,🍎 ,Bills,-12.99,GBP,-12.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AGyx7HPgddfSLGUkQD,01/03/2022,22:01:28,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AH23TXfW44Xq8tR5eb,03/03/2022,09:56:52,Faster payment,S Ali,,Transfers,400.00,GBP,400.00,GBP,S Ali,,,S Ali,
tx_0000AH23W3EHh3SEbbtXrm,03/03/2022,09:57:19,Card payment,Yorkshire Dental Su,🦷,Personal care,-400.00,GBP,-400.00,GBP,,347 Oakwood Lane,,YORKSHIRE DENTAL SU    LEEDS         GBR,
tx_0000AH5RS0Zmb3d2lNOM3V,05/03/2022,01:09:38,Faster payment,S Ali,,Transfers,40.00,GBP,40.00,GBP,S Ali,,,S Ali,
tx_0000AH6KWD6pR6y6U0wCn3,05/03/2022,11:26:40,Faster payment,ALI A & GHAFFAR,,Transfers,30.00,GBP,30.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AH6Nt2meI9V2LPeQ7t,05/03/2022,12:04:25,Card payment,Tesco,🍏 ,Groceries,-13.50,GBP,-13.50,GBP,,361 Roundhay Road,,TESCO STORE 2814       LEEDS         GBR,
tx_0000AH8hidD0uVEXCWXaa2,06/03/2022,14:56:03,Card payment,Vue,🎞,Entertainment,-29.98,GBP,-29.98,GBP,,,,"Vue Entertainment Ltd  Chiswick, Lon GBR",
tx_0000AH8wEnQrplp2t58qfJ,06/03/2022,17:38:44,Faster payment,ALI A & GHAFFAR,,Transfers,20.00,GBP,20.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AH8xFMAKnQ0af01BX0,06/03/2022,17:50:03,Card payment,Chicken Hut,🍴,Eating out,-8.30,GBP,-8.30,GBP,,226 Roundhay Road,,SumUp  *Chicken hut    Leeds         GBR,
tx_0000AH8yYxjLSJDnJOM8yf,06/03/2022,18:04:48,Card payment,Fm Cakes Ltd Ta Cake B,🍞,Groceries,-7.10,GBP,-7.10,GBP,,196A ROUNDHAY ROAD,,FM CAKES LTD TA CAKE B LEEDS         GBR,
tx_0000AHAcMSLgUqDE4lmIFd,07/03/2022,13:05:27,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AHAjyvvffHZFZGuxvd,07/03/2022,14:30:50,Card payment,KFC,🐔🍗,Eating out,-4.99,GBP,-4.99,GBP,Your receipt is available 🧾,Stonegate Road,,KFC LEEDS-MEANWOOD     LEEDS         GBR,
tx_0000AHArFZaSgWIVd723BB,07/03/2022,15:52:17,Card payment,Vue,🎞,Entertainment,-2.99,GBP,-2.99,GBP,,,,Vue Cinemas            London        GBR,
tx_0000AHH2ox1fnQUat50pRx,10/03/2022,15:30:12,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
